Date,Time,Open,High,Low,Close,Volume
04-01-2021,04:00:00,709,726.75,709,726.75,81592
04-01-2021,05:00:00,726.85,729.77,725,725.12,24915
04-01-2021,06:00:00,725.6,728,725,726.14,15613
04-01-2021,07:00:00,725.51,725.98,718.23,720.5,326905
04-01-2021,08:00:00,726,726,718.2,719.6,274192
04-01-2021,09:00:00,719.9,743.76,715.5,738.55,7330146
04-01-2021,10:00:00,738.95,744.49,730.52,731.2,6217799
04-01-2021,11:00:00,731.335,736.82,728.26,730.975,4013995
04-01-2021,12:00:00,730.854,732.634,718.03,724.055,4590586
04-01-2021,13:00:00,723.83,736.49,723.31,733.13,3203813
04-01-2021,14:00:00,733.283,733.99,724.28,730.38,2592009
04-01-2021,15:00:00,730.37,732.78,726.8,729.75,2799942
04-01-2021,16:00:00,729.77,731.525,729.333,730.51,2006910
04-01-2021,17:00:00,730.52,731.88,730.33,731,31141
04-01-2021,18:00:00,730.8,730.8,729.5,729.6,32736
04-01-2021,19:00:00,729.21,733.66,729.05,733.6,37939
05-01-2021,04:00:00,730.13,737.89,730.13,732,15810
05-01-2021,05:00:00,731.95,732.6,729.84,731.2,12634
05-01-2021,06:00:00,732.85,734.14,730,730.81,4585
05-01-2021,07:00:00,731,734.3,725.66,726.46,204298
05-01-2021,08:00:00,732.98,733.99,721.35,723.82,232505
05-01-2021,09:00:00,723.2,728.43,719.2,721.9,3519493
05-01-2021,10:00:00,721.94,738.5,720.3,734.664,4704073
05-01-2021,11:00:00,734.76,740.84,733.37,737.42,2842994
05-01-2021,12:00:00,737.41,738.33,733.53,738.32,1830419
05-01-2021,13:00:00,738.202,740.6,737.04,738.67,1774946
05-01-2021,14:00:00,738.7,739.7,735.2,736.035,1441796
05-01-2021,15:00:00,736.025,736.8,731.12,735.055,2545042
05-01-2021,16:00:00,735.11,750,733.04,749.36,1427587
05-01-2021,17:00:00,749.65,754.4,735.11,753.21,601110
05-01-2021,18:00:00,753.39,754.18,751.6,753.34,112628
05-01-2021,19:00:00,753.32,753.32,750.5,752.9,117902
06-01-2021,04:00:00,748,752.55,746.66,751.88,33173
06-01-2021,05:00:00,751.6,753,749.26,750.5,13781
06-01-2021,06:00:00,750.96,751.85,747.5,751.85,34361
06-01-2021,07:00:00,751.65,759.9,751.33,757.88,307976
06-01-2021,08:00:00,755.01,764,751.32,760.6,502634
06-01-2021,09:00:00,760.74,763.74,750.12,751.33,4963492
06-01-2021,10:00:00,751.52,763.8,749.1,762.878,5469524
06-01-2021,11:00:00,762.89,772.7,762.87,771.126,4876244
06-01-2021,12:00:00,771.18,773.75,768.342,771.033,2475710
06-01-2021,13:00:00,771.24,772.15,768.58,771.655,1617949
06-01-2021,14:00:00,771.8,774,750,761.677,5329064
06-01-2021,15:00:00,761.844,762.5,754.77,756.46,4167218
06-01-2021,16:00:00,755.98,765,755,762.75,891619
06-01-2021,17:00:00,762.64,762.75,760.05,760.5,58112
06-01-2021,18:00:00,760.8,762.8,760.8,762.01,44754
06-01-2021,19:00:00,762.07,764.45,761.88,763.6,147420
07-01-2021,04:00:00,769,779,767.2,778,35170
07-01-2021,05:00:00,777.77,781.3,777.77,778.61,15010
07-01-2021,06:00:00,778.78,779,776.88,777.7,18507
07-01-2021,07:00:00,777.14,779,775,778.5,236856
07-01-2021,08:00:00,776.036,778.88,774.22,774.53,213011
07-01-2021,09:00:00,774.53,792.93,773.31,786.57,5687426
07-01-2021,10:00:00,786.9,801,785.8,797.24,6938907
07-01-2021,11:00:00,797.24,811.61,797.24,798.306,6170013
07-01-2021,12:00:00,798.47,802.8,798,798.9,2593024
07-01-2021,13:00:00,798.98,805.7,795.31,805.33,2711876
07-01-2021,14:00:00,805.39,812.79,804.4,806.643,3465049
07-01-2021,15:00:00,806.75,816.99,806.2,816.24,4235876
07-01-2021,16:00:00,816.3,829.45,815.99,829.45,1325562
07-01-2021,17:00:00,829.4,834.72,816.04,833,533847
07-01-2021,18:00:00,832.4,833.01,829.02,830.36,179779
07-01-2021,19:00:00,830.59,831.95,828.82,829.5,108658
08-01-2021,04:00:00,845,849.09,842,846.88,59651
08-01-2021,05:00:00,847,851.83,844,847.01,37444
08-01-2021,06:00:00,847.44,849.75,844,844.5,41120
08-01-2021,07:00:00,844.8,854.44,841.08,853,563890
08-01-2021,08:00:00,852.81,857.07,841.09,853.5,728366
08-01-2021,09:00:00,853.3,859.25,838.39,852.03,7363528
08-01-2021,10:00:00,851.88,879,851.88,877.92,11990356
08-01-2021,11:00:00,877.98,884.49,871,873.95,6601780
08-01-2021,12:00:00,874,883.67,869.04,877.16,4175816
08-01-2021,13:00:00,877.25,877.3,847.18,865.325,6723951
08-01-2021,14:00:00,865.4,872.5,853.4,865.96,4647248
08-01-2021,15:00:00,865.85,884,861.49,880.03,6172586
08-01-2021,16:00:00,880.04,884.89,848.233,879.8,1074484
08-01-2021,17:00:00,879.93,880.7,878.1,879.65,61946
08-01-2021,18:00:00,879.67,879.76,866.8,868.9,121181
08-01-2021,19:00:00,868.31,872.25,865.5,867.5,160003
11-01-2021,04:00:00,866.38,867,851.5,854.55,87747
11-01-2021,05:00:00,855.4,864.8,854.55,862.45,73604
11-01-2021,06:00:00,861.91,863.38,856.99,861.22,25400
11-01-2021,07:00:00,860,865,852.15,863.24,283002
11-01-2021,08:00:00,858.008,870.5,852.01,862.2,515380
11-01-2021,09:00:00,862.26,863,817,838.99,8946138
11-01-2021,10:00:00,838.93,854.43,834.54,843.835,7195605
11-01-2021,11:00:00,843.66,844.33,833.39,838.099,3406978
11-01-2021,12:00:00,837.992,843.82,834.38,836.44,2723449
11-01-2021,13:00:00,836.416,837.37,824.2,829.635,3673813
11-01-2021,14:00:00,829.675,832.358,819,822.55,4025355
11-01-2021,15:00:00,822.425,822.987,803.622,811.18,6804234
11-01-2021,16:00:00,811.19,818.07,808,811.38,1192456
11-01-2021,17:00:00,811.33,819.3,809.1,817.05,95799
11-01-2021,18:00:00,817,818.5,815.2,818.5,88636
11-01-2021,19:00:00,818.17,818.5,815.76,818.5,95743
12-01-2021,04:00:00,822,836.93,822,832.95,32986
12-01-2021,05:00:00,832.7,836,830.31,830.31,7154
12-01-2021,06:00:00,830.53,831.89,825.46,826.42,20510
12-01-2021,07:00:00,825.86,836.38,825.86,834.15,288769
12-01-2021,08:00:00,831.321,836,826.5,827.18,309665
12-01-2021,09:00:00,827.18,849.07,827.01,848.82,5698906
12-01-2021,10:00:00,848.9,866.57,844.85,860.865,6938232
12-01-2021,11:00:00,860.865,868,856.27,860.326,4425408
12-01-2021,12:00:00,860.35,861.41,849,858.15,3965471
12-01-2021,13:00:00,858.399,860.23,855,855.76,1972593
12-01-2021,14:00:00,855.74,858.32,847.645,854,2726391
12-01-2021,15:00:00,854.08,860.15,848.6,849.22,3785360
12-01-2021,16:00:00,849.72,856.66,847.1,848.92,1275462
12-01-2021,17:00:00,849.01,852.75,848.73,851.5,41850
12-01-2021,18:00:00,851.68,851.68,850.21,850.85,25258
12-01-2021,19:00:00,850.55,852,850.23,852,39956
13-01-2021,04:00:00,855,861,848.85,852,41899
13-01-2021,05:00:00,852,852,843,845,32529
13-01-2021,06:00:00,842,845,839.1,843.51,16071
13-01-2021,07:00:00,843,849.7,843,846.52,124053
13-01-2021,08:00:00,845.001,849.4,844,847.49,99819
13-01-2021,09:00:00,847.2,860.47,845.18,846.165,3742649
13-01-2021,10:00:00,846.108,846.799,833.51,843.895,4658988
13-01-2021,11:00:00,844.16,844.8,837.37,837.943,1532514
13-01-2021,12:00:00,837.997,841.48,832,839.99,2365895
13-01-2021,13:00:00,840.06,844,836.55,844,1545508
13-01-2021,14:00:00,843.952,855.73,842.774,855.63,3745058
13-01-2021,15:00:00,855.502,858,849.75,854.42,2925631
13-01-2021,16:00:00,854.9,855.9,851.75,853.4,1058782
13-01-2021,17:00:00,853.4,853.4,849,850.5,50556
13-01-2021,18:00:00,850.45,850.45,838.8,846,153836
13-01-2021,19:00:00,846,847,842.5,843.1,105044
14-01-2021,04:00:00,840,842.06,837.66,839.8,19080
14-01-2021,05:00:00,838.9,840,838,838.6,4718
14-01-2021,06:00:00,837.99,843.99,837.99,843.98,12150
14-01-2021,07:00:00,843.76,847.95,841.51,847.05,90586
14-01-2021,08:00:00,843.5,847.88,841.95,843.63,116491
14-01-2021,09:00:00,843.63,849.7,838.75,846.41,3036340
14-01-2021,10:00:00,846.55,863,846.327,857.03,5799158
14-01-2021,11:00:00,856.83,859.7,850.2,853.224,2369530
14-01-2021,12:00:00,853.3,858,850.62,854.245,1822972
14-01-2021,13:00:00,854.2,854.206,844,847.03,2673666
14-01-2021,14:00:00,847.165,855,846.68,848.875,2104325
14-01-2021,15:00:00,848.77,849.83,843.4,844.21,2428219
14-01-2021,16:00:00,845,848.25,844.31,846.78,615173
14-01-2021,17:00:00,847,848.38,847,848,22322
14-01-2021,18:00:00,847.81,847.9,846.25,846.74,15165
14-01-2021,19:00:00,846.45,847.95,845.55,847.95,45140
