Date,Time,Open,High,Low,Close,Volume
04-01-2021,04:00:00,709,725,709,724,61638
04-01-2021,04:30:00,724,726.75,722.8,726.75,19954
04-01-2021,05:00:00,726.85,729.77,725,725.32,14341
04-01-2021,05:30:00,725.25,726.51,725,725.12,10574
04-01-2021,06:00:00,725.6,726.98,725,725.5,6552
04-01-2021,06:30:00,725.99,728,725.42,726.14,9061
04-01-2021,07:00:00,725.51,725.98,718.23,720.5,218870
04-01-2021,07:30:00,720.46,722.5,720,720.5,108035
04-01-2021,08:00:00,726,726,718.2,720.33,171222
04-01-2021,08:30:00,720.6,722.77,719.21,719.6,102970
04-01-2021,09:00:00,719.9,720.9,715.5,719.77,236823
04-01-2021,09:30:00,719.5,743.76,717.19,738.55,7093323
04-01-2021,10:00:00,738.95,743,733.5,740.03,3180547
04-01-2021,10:30:00,740,744.49,730.52,731.2,3037252
04-01-2021,11:00:00,731.335,736.82,728.26,735.62,2749870
04-01-2021,11:30:00,735.45,735.75,729.253,730.975,1264125
04-01-2021,12:00:00,730.854,732.634,718.03,723.61,3130570
04-01-2021,12:30:00,723.76,725.71,719.9,724.055,1460016
04-01-2021,13:00:00,723.83,731.99,723.31,731.165,1713939
04-01-2021,13:30:00,731.11,736.49,728.67,733.13,1489874
04-01-2021,14:00:00,733.283,733.99,726.25,727.47,1216720
04-01-2021,14:30:00,727.29,730.69,724.28,730.38,1375289
04-01-2021,15:00:00,730.37,732.68,726.8,730.791,1248892
04-01-2021,15:30:00,730.855,732.78,728.25,729.75,1551050
04-01-2021,16:00:00,729.77,731.525,729.333,730.29,1987375
04-01-2021,16:30:00,730.4,731,729.77,730.51,19535
04-01-2021,17:00:00,730.52,731.8,730.33,730.6,15492
04-01-2021,17:30:00,730.95,731.88,730.6,731,15649
04-01-2021,18:00:00,730.8,730.8,730,730.3,18377
04-01-2021,18:30:00,730.17,730.39,729.5,729.6,14359
04-01-2021,19:00:00,729.21,730.85,729.05,730.2,12447
04-01-2021,19:30:00,729.9,733.66,729.9,733.6,25492
05-01-2021,04:00:00,730.13,737.89,730.13,736.59,8746
05-01-2021,04:30:00,735,735.68,731,732,7064
05-01-2021,05:00:00,731.95,732.6,729.84,731.06,10092
05-01-2021,05:30:00,731.75,732.01,730.99,731.2,2542
05-01-2021,06:00:00,732.85,734.14,732.85,733.69,339
05-01-2021,06:30:00,733.5,734,730,730.81,4246
05-01-2021,07:00:00,731,734.3,729,729.01,135881
05-01-2021,07:30:00,728.9,729.48,725.66,726.46,68417
05-01-2021,08:00:00,732.98,733.99,721.35,722.6,157848
05-01-2021,08:30:00,722.59,725.6,721.55,723.82,74657
05-01-2021,09:00:00,723.2,724.44,721.01,724,87257
05-01-2021,09:30:00,723.66,728.43,719.2,721.9,3432236
05-01-2021,10:00:00,721.94,735.68,720.3,731.9,2840948
05-01-2021,10:30:00,731.861,738.5,730.55,734.664,1863125
05-01-2021,11:00:00,734.76,738.898,733.37,738.59,1366652
05-01-2021,11:30:00,738.78,740.84,736.27,737.42,1476342
05-01-2021,12:00:00,737.41,737.79,733.53,737.67,1122912
05-01-2021,12:30:00,737.67,738.33,735.15,738.32,707507
05-01-2021,13:00:00,738.202,740.6,737.04,738.737,1171546
05-01-2021,13:30:00,738.73,740.53,738.01,738.67,603400
05-01-2021,14:00:00,738.7,739.7,737,738.329,611677
05-01-2021,14:30:00,738.4,739.4,735.2,736.035,830119
05-01-2021,15:00:00,736.025,736.69,733.6,735.9,865751
05-01-2021,15:30:00,735.9,736.8,731.12,735.055,1679291
05-01-2021,16:00:00,735.11,744.51,733.04,744.21,953268
05-01-2021,16:30:00,744.17,750,733.24,749.36,474319
05-01-2021,17:00:00,749.65,751.75,735.11,750.5,393448
05-01-2021,17:30:00,750.5,754.4,749.61,753.21,207662
05-01-2021,18:00:00,753.39,753.5,751.6,753.3,66832
05-01-2021,18:30:00,753.5,754.18,753.15,753.34,45796
05-01-2021,19:00:00,753.32,753.32,750.5,752.69,56018
05-01-2021,19:30:00,753,753.19,752,752.9,61884
06-01-2021,04:00:00,748,752.55,746.66,752.49,27149
06-01-2021,04:30:00,752.21,752.21,750.21,751.88,6024
06-01-2021,05:00:00,751.6,752.75,750.55,750.55,6198
06-01-2021,05:30:00,750.06,753,749.26,750.5,7583
06-01-2021,06:00:00,750.96,751.68,749,749,15361
06-01-2021,06:30:00,748.61,751.85,747.5,751.85,19000
06-01-2021,07:00:00,751.65,757.47,751.33,756,169272
06-01-2021,07:30:00,755.98,759.9,755.93,757.88,138704
06-01-2021,08:00:00,755.01,762.67,751.32,762,248377
06-01-2021,08:30:00,762.08,764,760.26,760.6,254257
06-01-2021,09:00:00,760.74,763.74,757,757.99,202295
06-01-2021,09:30:00,758.49,761.5,750.12,751.33,4761197
06-01-2021,10:00:00,751.52,760.5,749.1,757.309,2806956
06-01-2021,10:30:00,757.25,763.8,755.51,762.878,2662568
06-01-2021,11:00:00,762.89,769.98,762.87,769.42,2685152
06-01-2021,11:30:00,769.615,772.7,768.4,771.126,2191092
06-01-2021,12:00:00,771.18,773.75,770.33,771.145,1490178
06-01-2021,12:30:00,771.18,772.5,768.342,771.033,985532
06-01-2021,13:00:00,771.24,771.35,768.58,769.69,815017
06-01-2021,13:30:00,769.615,772.15,769.257,771.655,802932
06-01-2021,14:00:00,771.8,774,764.4,764.5,1734376
06-01-2021,14:30:00,764.51,767.93,750,761.677,3594688
06-01-2021,15:00:00,761.844,762.5,754.77,758.68,2108315
06-01-2021,15:30:00,758.53,761.95,755,756.46,2058903
06-01-2021,16:00:00,755.98,763.12,755,763,736314
06-01-2021,16:30:00,763,765,755.98,762.75,155305
06-01-2021,17:00:00,762.64,762.75,760.05,761.4,25813
06-01-2021,17:30:00,761.5,762.49,760.39,760.5,32299
06-01-2021,18:00:00,760.8,762,760.8,762,21638
06-01-2021,18:30:00,762.35,762.8,761.6,762.01,23116
06-01-2021,19:00:00,762.07,763.25,761.88,763.25,32561
06-01-2021,19:30:00,762.94,764.45,762.3,763.6,114859
07-01-2021,04:00:00,769,779,767.2,777.85,26670
